Year,Rank,Title_CN,Title_JP,Info,Score,RatingCount
2000,Rank84,FLCL,フリクリ,6话 /  2000年4月26日 / 鶴巻和哉 / GAINAX / 貞本義行,8.3,9608人评分
2000,Rank255,勇者王GaoGaiGar Final,勇者王ガオガイガーFINAL,8话 /  2000年1月21日 / 矢立肇 / 木村貴宏,8.1,461人评分
2000,Rank262,吸血鬼猎人D：妖杀行,Vampire Hunter D: Bloodlust,1话 /  2000-08-25、2001-04-21,8.0,2585人评分
2000,Rank317,魔卡少女樱 被封印的卡片,劇場版カードキャプターさくら 封印されたカード,1话 /  2000年7月15日 / 浅香守生 / CLAMP（講談社「なかよし」連載中） / 高橋久美子,7.9,3392人评分
2000,Rank347,游戏王－怪兽之决斗,遊☆戯☆王デュエルモンスターズ,224话 /  2000年4月18日 / 杉島邦久 / 高橋和希 / 荒木伸吾、姫野美智、 原憲一（第145話 - 第184話） 加々美高浩（第199話 - 第224話）//モンスターデザイン - 加々美高浩、高橋和徳、星野浩一、関崎高明、南伸一郎、本間孝弘,7.9,3244人评分
2000,Rank379,第一神拳,はじめの一歩,76话 /  2000年10月3日 / 西村聡 / 杉浦幸次,7.9,416人评分
2000,Rank552,数码宝贝大冒险 我们的战争游戏!,デジモンアドベンチャー ぼくらのウォーゲーム!,1话 /  2000年3月4日 / 細田守 / 中鶴勝祥,7.7,1576人评分
2000,Rank592,犬夜叉,犬夜叉,167话 /  2000年10月16日 / 池田成（1-44）、青木康直（45-） / 高橋留美子（「犬夜叉」小学館「週刊少年サンデー」連載中） / 菱沼義仁,7.7,4980人评分
2000,Rank905,星界的战旗,星界の戦旗,13话 /  2000年4月14日 / 長岡康史 / 森岡浩之（ハヤカワ文庫刊） / 渡部圭祐,7.5,485人评分
2000,Rank945,小魔女DoReMi ♯,おジャ魔女どれみ♯,49话 /  2000年2月6日 / 東堂いづみ / 馬越嘉彦,7.5,372人评分
2001,Rank19,千年女优,千年女優,1话 /  2001年7月28日、2002年9月14日 / 今敏 / 本田雄、今敏,8.7,12128人评分
2001,Rank28,千与千寻,千と千尋の神隠し,1话 /  2001年7月20日 / 宮崎駿 / 宮崎駿,8.6,25642人评分
2001,Rank98,蜡笔小新：大人王国的反击,クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,1话 /  2001年4月21日 / 原恵一 / 臼井儀人 / 末吉裕一郎、原勝徳,8.3,2743人评分
2001,Rank100,棋魂,ヒカルの碁,75话 /  2001年10月10日 / 西澤晋（1～15）、神谷純（16～59）、えんどうてつや（57～75） / ほったゆみ、小畑健(集英社「週刊少年ジャンプ」連載) / 本橋秀之（主人设）、関口可奈味、上田美由紀、芝美奈子,8.3,4807人评分
2001,Rank131,星际牛仔 天国之扉,カウボーイビバップ 天国の扉,1话 /  2001年9月1日 / 渡辺信一郎 / 矢立肇 / 川元利浩,8.2,6805人评分
2001,Rank266,数码宝贝驯兽师之王,デジモンテイマーズ,51话 /  2001年4月1日 / 中鶴勝祥,8.0,2562人评分
2001,Rank472,热带雨林的爆笑生活,ジャングルはいつもハレのちグゥ,26话 /  2001年4月3日 / 水島努 / 金田一蓮十郎,7.8,2318人评分
2001,Rank553,大～集合！小魔女DoReMi,も〜っと!おジャ魔女どれみ,50话 /  2001年2月4日 / 東堂いづみ / 馬越嘉彦,7.8,277人评分
2001,Rank847,猫汤,ねこぢる草,1话 /  2001年2月21日 / 佐藤竜雄 / ねこぢる（月刊ガロ連載）,7.5,2401人评分
2001,Rank849,星界的战旗II,星界の戦旗II,10话 /  2001年7月11日 / 長岡康史 / 森岡浩之（ハヤカワ文庫刊） / 渡部圭祐,7.6,408人评分
2002,Rank5,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,26话 /  2002年10月1日 / 神山健治 / 士郎正宗「攻殻機動隊」（講談社 ヤングマガジン KCDX 刊） / 下村一（りぱ）,9.1,10836人评分
2002,Rank113,十二国记,十二国記,45话 /  2002年4月9日 / 小林常夫、栗原ひばり(40話のみ) / 小野不由美 / 田中比呂人、楠本祐子,8.2,4014人评分
2002,Rank137,猎人 OVA,HUNTER×HUNTER OVA 第1期,8话 /  2002年1月17日 / 冨樫義博,8.2,1714人评分
2002,Rank184,小魔女DoReMi 大合奏,おジャ魔女どれみドッカ～ン!,51话 /  2002年2月3日 / 東堂いづみ / 馬越嘉彦,8.2,368人评分
2002,Rank265,萩萩公主,プリンセスチュチュ,26话 /  2002年8月16日 / 河本昇悟 / 伊藤郁子,8.0,658人评分
2002,Rank369,笑园漫画大王,あずまんが大王 THE ANIMATION,26话 /  2002年4月8日 / 錦織博 / あずまきよひこ（メディアワークス刊『月刊電撃大王』） / 加藤やすひさ,7.8,2383人评分
2002,Rank386,名侦探柯南 贝克街的亡灵,名探偵コナン ベイカー街の亡霊,1话 /  2002年4月20日 / こだま兼嗣 / 青山剛昌（小学館「週刊少年サンデー」連載中） / 須藤昌朋,7.8,8249人评分
2002,Rank438,战斗妖精雪风,戦闘妖精雪風,5话 /  2002年8月25日 / 大倉雅彦 / 神林長平 / 多田由美,7.8,1829人评分
2002,Rank448,蜡笔小新：风起云涌 壮烈！战国大会战,クレヨンしんちゃん 嵐を呼ぶ アッパレ!戦国大合戦,1话 /  2002年4月20日 / 原恵一 / 臼井儀人 / 末吉裕一郎,7.8,1247人评分
2002,Rank497,热带雨林的爆笑生活DELUXE,ジャングルはいつもハレのちグゥ デラックス,12话 /  2002年8月25日 / 水島努 / 金田一蓮十郎,7.8,990人评分
2003,Rank104,东京教父,東京ゴッドファーザーズ,1话 /  2003年11月8日 / 今敏 / 今敏 / 小西賢一、今敏,8.3,7897人评分
2003,Rank106,百变之星,カレイドスター,51话 /  2003年4月3日 / 佐藤順一（全話）、平池芳正（第29～51話） / 渡辺はじめ、追崎史敏,8.3,1431人评分
2003,Rank130,钢之炼金术师,鋼の錬金術師,51话 /  2003年10月4日 / 水島精二 / 荒川弘 / 伊藤嘉之,8.2,9594人评分
2003,Rank158,星空清理者,プラネテス,26话 /  2003年10月4日 / 谷口悟朗 / 幸村誠 / 千羽由利子,8.2,3622人评分
2003,Rank160,全金属狂潮 校园篇,フルメタル・パニック? ふもっふ,12话 /  2003年8月26日 / 武本康弘 / 賀東招二 / 堀内修,8.1,6282人评分
2003,Rank191,奇诺之旅,キノの旅 -the Beautiful World-,13话 /  2003年4月8日 / 中村隆太郎 / 時雨沢恵一（メディアワークス・電撃文庫） / 須賀重行,8.1,5077人评分
2003,Rank430,神枪少女,GUNSLINGER GIRL,13话 /  2003年10月8日 / 浅香守生 / 相田裕（メディアワークス「月刊コミック電撃大王」連載）,7.8,2380人评分
2003,Rank482,猎人 OVA2 贪婪大陆,HUNTER×HUNTER OVA 第2期 GREED ISLAND,8话 /  2003年2月5日 / ユキヒロマツシタ（福島宏之） / 冨樫義博 / 田頭しのぶ,7.8,1268人评分
2003,Rank513,热带雨林的爆笑生活FINAL,ジャングルはいつもハレのちグゥ FINAL,14话 /  2003年12月21日 / 水島努 / 金田一蓮十郎,7.8,945人评分
2003,Rank521,铳墓,ガングレイヴ,26话 /  2003年10月6日 / 都留稔幸 / 内藤泰弘、レッド・エンタテインメント,7.7,1134人评分
2004,Rank1,攻壳机动队 S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,26话 /  2004年1月1日 / 神山健治 / 士郎正宗「攻殻機動隊」（講談社 ヤングマガジン KCDX 刊） / 後藤隆幸、西尾鉄也,9.2,9485人评分
2004,Rank20,攻壳机动队2 无罪,イノセンス,1话 /  2004年3月6日 / 押井守 / 士郎正宗（「攻殻機動隊」講談社刊） / 沖浦啓之,8.7,7773人评分
2004,Rank39,混沌武士,サムライチャンプルー,26话 /  2004年5月19日 / 渡辺信一郎 / Manglobe / 中澤一登；人物设定辅佐：小森秀人,8.5,10474人评分
2004,Rank116,怪物,MONSTER,74话 /  2004年4月6日 / 小島正幸 / 浦沢直樹（小学館・ビッグコミックス刊） / 藤田しげる；ゲストキャラデザイン：濱田邦彦、宮脇千鶴、津幡佳明,8.2,4241人评分
2004,Rank206,心灵游戏,マインド・ゲーム,1话 /  2004年8月7日 / 湯浅政明 / 末吉裕一郎,8.1,2157人评分
2004,Rank212,小魔女DoReMi 童年秘密篇,おジャ魔女どれみナ・イ・ショ,13话 /  2004年6月26日 / 東堂いづみ / 馬越嘉彦,8.2,310人评分
2004,Rank215,妄想代理人,妄想代理人,13话 /  2004年2月2日 / 今敏 / 安藤雅司,8.0,4569人评分
